"code_mode","high_educ","imd_band","age_band","prev_attempts","finRes","logSum_click","logStudy_credits","LMS_group","reduceReg","disabil","Wscal_score"
"FFF","A-Level","30-40%","0-35",0,"Pass",8.24748200428569,5.19849703126583,"High","South West Region","N",0.38
"CCC",NA,"90-100%","0-35",0,"Pass",8.43337670532313,3.43398720448515,"High","Other","N",0.27
"FFF","A-Level","20-30%","0-35",0,NA,8.86615849228492,4.11087386417331,"High","Other","N",0.6
"DDD","A-Level","60-70%","0-35",0,"Pass",7.21229446850034,4.11087386417331,"High","Other","N",0.18
"DDD","HE Qual","40-50%","0-35",2,"Fail",5.60947179518496,4.79579054559674,"Medium","Wales","N",0.798999999999999
"GGG","Lower","30-40%","0-35",0,"Pass",7.19818357710194,3.43398720448515,"High","North Western Region","N",0.9
"DDD","A-Level","30-40%","0-35",0,"Pass",6.26149168432104,4.11087386417331,"Medium","South West Region","N",-0.08
"FFF","A-Level","30-40%","0-35",0,"Pass",7.8991534833431,4.11087386417331,"High","Other","N",0.27
"BBB","A-Level","30-40%","0-35",0,"Fail",5.70044357339069,4.11087386417331,"Medium","Other","N",-0.05
"BBB","HE Qual","30-40%","0-35",0,"Pass",7.95050243480885,4.11087386417331,"High","Other","N",-0.53
"BBB","A-Level","90-100%","0-35",0,"Pass",5.85793315448346,5.35185813347607,"Medium","Wales","N",0.68
"FFF","Lower","50-60%","0-35",0,"Fail",7.75276480885133,4.11087386417331,"High","Wales","N",-0.17
"FFF","A-Level","0-10%","0-35",1,"Fail",7.66996199547358,4.79579054559674,"High","North Western Region","N",0.07
"CCC","Lower","60-70%","0-35",1,"Fail",7.54802896993501,3.43398720448515,"High","West Midlands Region","N",-0.65
"CCC","A-Level","60-70%","0-35",0,"Fail",5.48063892334199,4.79579054559674,"Medium","Other","Y",-0.069
"FFF","Lower","50-60%","0-35",1,"Fail",4.93447393313069,4.51085950651685,"Medium","Other","N",-0.52
"BBB","Lower","70-80%","0-35",0,NA,5.73009978297357,4.79579054559674,"Medium","Other","Y",0.79
"CCC","A-Level","80-90%","0-35",0,"Fail",5.57215403217776,3.43398720448515,"Medium","South West Region","N",-0.45
"DDD","A-Level","90-100%","0-35",0,"Fail",6.98841318199959,4.11087386417331,"High","South West Region","N",-0.61
"FFF","A-Level","90-100%","0-35",0,"Pass",7.95682712209011,4.51085950651685,"High","South West Region","N",0.36
"BBB","A-Level","0-10%","0-35",0,"Pass",9.13798470978404,4.51085950651685,"High","Yorkshire Region","N",0.52
"DDD",NA,"60-70%","0-35",1,"Fail",6.71417052990947,4.11087386417331,"Medium","Other","N",-0.67
"CCC","A-Level","40-50%","0-35",0,NA,8.44290058683438,3.43398720448515,"High","South Region","N",0.97
"EEE","A-Level","40-50%","0-35",1,"Pass",7.69984240739699,4.11087386417331,"High","Other","N",1
"FFF","A-Level","0-10%","0-35",1,"Fail",6.22851100359118,5.35185813347607,"Medium","London Region","N",-0.26
"BBB","Lower","80-90%","0-35",2,"Pass",6.99576615630485,4.79579054559674,"High","Other","N",0.84
"CCC","HE Qual","70-80%","0-35",0,"Pass",7.14913159855741,3.43398720448515,"High","Other","N",0.12
"CCC","A-Level","30-40%","0-35",0,"Pass",6.66949808985788,4.11087386417331,"Medium","Other","N",-0.14
"FFF","A-Level","60-70%","0-35",0,"Pass",8.16507925880507,4.51085950651685,"High","South Region","N",-0.21
"DDD","A-Level","80-90%","0-35",0,"Pass",7.26822302115957,4.11087386417331,"High","London Region","Y",-0.49
"BBB","A-Level","90-100%","0-35",0,"Pass",6.68210859744981,4.79579054559674,"Medium","South East Region","N",-0.34
"FFF","A-Level","40-50%","0-35",0,"Pass",8.2960476427647,4.79579054559674,"High","London Region","N",0.63
"BBB","Lower","0-10%","0-35",2,"Pass",5.44241771052179,4.79579054559674,"Medium","West Midlands Region","N",-0.04
"FFF","A-Level","70-80%","0-35",0,"Fail",7.7510451179718,5.35185813347607,"High","Yorkshire Region","N",-0.15
"AAA","HE Qual","30-40%","0-35",0,"Pass",7.69484807238461,4.79579054559674,"High","London Region","N",-0.489
"BBB","HE Qual","0-10%","0-35",2,"Fail",5.15905529921453,4.11087386417331,"Medium","West Midlands Region","N",0.55
"BBB","Lower","60-70%","0-35",4,"Fail",4.17438726989564,4.79579054559674,"Medium","Other","N",-0.47
"DDD","A-Level","60-70%","0-35",1,"Pass",7.38709023565676,5.01727983681492,"High","Other","N",-0.48
"CCC","Lower","80-90%","0-35",0,"Pass",6.06145691892802,3.8286413964891,"Medium","West Midlands Region","N",0.58
"EEE","Lower","60-70%","0-35",0,"Pass",7.46908388492123,3.43398720448515,"High","Wales","N",0.68
"DDD","A-Level","0-10%","0-35",0,"Pass",7.10085190894405,4.79579054559674,"High","Wales","N",-0.04
"CCC","A-Level","50-60%","0-35",0,"Fail",7.04490511712937,4.11087386417331,"High","Other","Y",0.78
"DDD","Lower","20-30%","0-35",0,"Fail",4.71849887129509,4.11087386417331,"Medium","Wales","N",-2.84
"FFF","HE Qual","90-100%","0-35",0,"Fail",7.83952558170468,4.11087386417331,"High","Other","N",-0.21
"GGG","A-Level","40-50%","0-35",0,"Fail",6.33682573114644,3.43398720448515,"Medium","Other","N",-0.23
"EEE","Lower","30-40%","0-35",0,"Pass",6.65801104587075,4.51085950651685,"Medium","North Region","N",-0.7
"CCC",NA,"30-40%","0-35",1,"Pass",7.02464903045364,4.51085950651685,"High","London Region","N",-0.58
"FFF","A-Level","20-30%","0-35",1,"Fail",7.19067603433221,4.11087386417331,"High","South East Region","Y",0.58
"EEE","Lower","30-40%","0-35",0,"Fail",6.13339804299665,4.11087386417331,"Medium","South Region","N",-0.2
"BBB","A-Level","30-40%","0-35",1,"Fail",3.46573590279973,4.79579054559674,"Medium","London Region","N",-3.25
"FFF","A-Level","90-100%","0-35",0,"Fail",7.59337419312129,4.11087386417331,"High","Other","N",0.11
"BBB","Lower","30-40%","0-35",0,"Pass",6.13339804299665,4.79579054559674,"Medium","Yorkshire Region","N",-0.988
"BBB","A-Level","60-70%","0-35",0,"Pass",7.350516171834,4.11087386417331,"High","Other","N",0.862
"BBB","Lower","0-10%","0-35",1,"Fail",5.90536184805457,4.51085950651685,"Medium","Other","N",-0.03
"BBB","A-Level","60-70%","0-35",0,"Pass",7.28000825288419,4.11087386417331,"High","Other","N",0.72
"EEE","Lower","30-40%","0-35",0,"Fail",4.93447393313069,4.11087386417331,"Medium","London Region","Y",0.35
"DDD","Lower","70-80%","0-35",0,"Fail",6.56385552653213,4.11087386417331,"Medium","London Region","N",-0.14
"FFF","Lower","20-30%","0-35",0,"Fail",8.59840444684106,4.79579054559674,"High","West Midlands Region","N",-0.46
"DDD","A-Level","30-40%","0-35",1,"Pass",7.25063551189868,4.39444915467244,"High","North Region","N",-0.85
"FFF","A-Level","0-10%","0-35",1,"Pass",7.83794891602528,4.79579054559674,"High","Yorkshire Region","N",-0.1
"DDD","Lower","70-80%","0-35",0,NA,7.33888813383888,4.11087386417331,"High","Other","N",0.56
"EEE","HE Qual","40-50%","0-35",0,"Pass",7.33953769540767,4.11087386417331,"High","Other","N",0.58
"FFF","Lower","70-80%","0-35",1,"Fail",0,4.11087386417331,"Low","Other","N",-3.25
"BBB","Lower","30-40%","0-35",0,"Pass",6.11146733950268,5.19849703126583,"Medium","Wales","N",0.28
"FFF","Lower","30-40%","0-35",0,"Pass",8.95480275285097,4.11087386417331,"High","Yorkshire Region","N",0.59
"GGG","A-Level","40-50%","0-35",0,"Pass",6.63200177739563,3.43398720448515,"Medium","South Region","Y",0.82
"CCC","A-Level","50-60%","0-35",0,"Pass",8.04974629095219,4.79579054559674,"High","Other","Y",0.09
"EEE","HE Qual","90-100%","0-35",0,"Pass",8.00803284696931,4.11087386417331,"High","Other","Y",-0.3765
"BBB","Lower","90-100%","0-35",0,NA,7.06646697013696,4.11087386417331,"High","West Midlands Region","N",0.77
"BBB","A-Level","80-90%","0-35",1,"Pass",6.31354804627709,4.11087386417331,"Medium","North Region","N",0.59
"GGG","Lower","0-10%","0-35",0,"Fail",5.14166355650266,3.43398720448515,"Medium","Other","N",0.17
"BBB","Lower","30-40%","0-35",0,"Pass",7.25063551189868,4.11087386417331,"High","Other","N",0.44
"DDD","Lower","80-90%","0-35",1,"Pass",8.25400859056484,4.11087386417331,"High","South East Region","N",0.71
"DDD","A-Level","20-30%","0-35",0,NA,7.83636976054512,4.11087386417331,"High","Other","N",0.69
"FFF",NA,"90-100%","0-35",0,"Pass",8.29729437026692,4.79579054559674,"High","South Region","N",0.745
"GGG","HE Qual","50-60%","0-35",0,"Fail",5.80814248998044,3.43398720448515,"Medium","North Western Region","N",-0.349
"DDD","A-Level","30-40%","0-35",0,"Fail",5.6970934865054,4.11087386417331,"Medium","Other","N",-1.54
"FFF","HE Qual","30-40%","0-35",0,"Pass",8.06148686687133,4.11087386417331,"High","Other","N",0.1
"CCC","Lower","50-60%","0-35",0,"Fail",6.98193467715639,4.79579054559674,"High","North Region","N",0.0719999999999999
"EEE","HE Qual","40-50%","0-35",0,NA,8.38731227056172,3.43398720448515,"High","Other","N",0.412
"BBB","HE Qual","20-30%","0-35",0,"Pass",6.63987583382654,4.79579054559674,"Medium","London Region","N",0.22
"BBB","Lower","0-10%","0-35",0,"Pass",5.93224518744801,4.79579054559674,"Medium","West Midlands Region","Y",0.49
"BBB","A-Level","80-90%","0-35",0,"Pass",6.29526600143965,4.79579054559674,"Medium","London Region","N",0.28
"FFF","A-Level","40-50%","0-35",0,"Pass",8.2220164372022,5.01727983681492,"High","South East Region","Y",-0.132
"BBB","Lower","30-40%","0-35",0,"Pass",7.90875473878325,4.11087386417331,"High","West Midlands Region","N",0.38
"FFF","Lower","40-50%","0-35",1,"Fail",4.54329478227,4.51085950651685,"Medium","Wales","N",-3.25
"DDD","A-Level","50-60%","0-35",1,"Pass",5.605802066296,4.11087386417331,"Medium","North Region","N",-0.78
"FFF","Lower","30-40%","0-35",0,"Pass",7.92226105835325,4.51085950651685,"High","Other","N",0.53
"FFF","Lower","70-80%","0-35",1,"Fail",5.40717177146012,4.11087386417331,"Medium","Wales","N",-1.11
"GGG","A-Level","0-10%","0-35",0,NA,4.75359019110636,3.43398720448515,"Medium","North Western Region","N",0.26
"DDD","Lower","80-90%","0-35",1,"Fail",4.91998092582813,4.11087386417331,"Medium","Wales","N",-2.11
"BBB","A-Level","30-40%","0-35",0,"Pass",6.69703424766648,4.79579054559674,"Medium","Wales","N",0.8845
"FFF","A-Level","40-50%","0-35",0,"Pass",7.90507284949867,4.11087386417331,"High","Other","N",0.82
"BBB","Lower","20-30%","0-35",0,"Pass",5.8348107370626,4.79579054559674,"Medium","West Midlands Region","N",0.63
"DDD","A-Level","40-50%","0-35",1,"Fail",5.18178355029209,4.79579054559674,"Medium","North Region","N",0.19
"FFF","A-Level","30-40%","0-35",0,NA,8.18200013629341,4.79579054559674,"High","South West Region","Y",0.7225
"FFF","HE Qual","70-80%","0-35",1,"Pass",7.07072410726028,5.01727983681492,"High","Other","N",0.14
"GGG","A-Level","80-90%","0-35",0,"Pass",6.58202513889283,3.43398720448515,"Medium","South Region","N",0.42
"FFF","A-Level","30-40%","0-35",0,"Pass",7.95962530509811,4.11087386417331,"High","Other","N",-0.04
"BBB","Lower","30-40%","0-35",0,"Pass",5.5834963087817,4.11087386417331,"Medium","North Western Region","N",-0.09
"CCC","Lower","70-80%","0-35",0,"Fail",6.72743172485086,3.43398720448515,"Medium","Other","N",-0.39
"BBB","A-Level","40-50%","0-35",2,NA,6.55961523749324,4.51085950651685,"Medium","Yorkshire Region","N",0.88
"FFF","A-Level","0-10%","0-35",1,"Fail",5.63835466933375,4.79579054559674,"Medium","Other","N",0.794
"CCC","A-Level","30-40%","0-35",0,NA,7.80506704425849,4.51085950651685,"High","North Region","N",1.19
"DDD","HE Qual","50-60%","0-35",0,"Pass",7.01211529430638,4.11087386417331,"High","South West Region","N",-0.56
"BBB","Lower","30-40%","0-35",0,"Pass",6.61472560020376,4.11087386417331,"Medium","Other","N",0.68
"BBB","Lower","20-30%","0-35",2,"Fail",5.02388052084628,5.48479693349065,"Medium","Other","N",0.8945
"BBB","Lower","50-60%","0-35",0,NA,7.71556953452021,4.11087386417331,"High","Other","N",1.03
"FFF","HE Qual","30-40%","0-35",2,"Fail",7.67786350067821,4.51085950651685,"High","Other","N",-0.64
"DDD","Lower","60-70%","0-35",0,"Fail",6.37331978957701,4.11087386417331,"Medium","Other","N",-1.07
"DDD","None","0-10%","0-35",1,"Pass",6.42486902390539,4.26267987704132,"Medium","West Midlands Region","N",-0.49
"AAA","Lower","30-40%","0-35",0,NA,5.4510384535657,5.70711026474888,"Medium","Other","N",0.593
"AAA","A-Level","70-80%","0-35",0,"Pass",6.02102334934953,4.11087386417331,"Medium","North Western Region","N",-0.54
"BBB","Lower","20-30%","0-35",0,"Fail",3.93182563272433,4.11087386417331,"Medium","South Region","N",-3.25
"CCC","A-Level","30-40%","0-35",0,"Fail",5.46383180502561,4.51085950651685,"Medium","London Region","N",-0.2
"DDD","Lower","60-70%","0-35",2,"Pass",8.0258433441509,4.51085950651685,"High","Other","N",-0.25
"BBB","A-Level","0-10%","0-35",2,"Fail",6.86066367144829,4.79579054559674,"High","Yorkshire Region","N",-1.3
"BBB","Lower","20-30%","0-35",1,"Pass",5.97126183979046,4.11087386417331,"Medium","South East Region","N",-0.09
"CCC","A-Level","60-70%","0-35",1,NA,6.87212810133899,3.43398720448515,"High","Yorkshire Region","N",0.95
"FFF","Lower","30-40%","0-35",0,"Fail",6.66057514983969,4.11087386417331,"Medium","Other","N",0.2
"DDD","A-Level","70-80%","0-35",1,"Pass",6.1527326947041,4.11087386417331,"Medium","London Region","N",-0.909
"CCC","A-Level","30-40%","0-35",0,"Pass",7.08924315502751,4.51085950651685,"High","West Midlands Region","N",-0.76
"BBB","A-Level","70-80%","0-35",0,"Pass",6.26339826259162,4.51085950651685,"Medium","Yorkshire Region","N",0.27
"CCC","HE Qual","50-60%","0-35",1,"Pass",6.87523208727658,4.26267987704132,"High","South East Region","N",0.32
"FFF","Lower","90-100%","0-35",1,"Fail",6.34212141872115,4.79579054559674,"Medium","North Western Region","N",0.12
"DDD","A-Level","20-30%","0-35",2,"Pass",6.45990445437753,5.19849703126583,"Medium","London Region","N",-0.81
"EEE","A-Level","50-60%","0-35",0,"Fail",7.82164312623998,4.11087386417331,"High","Other","N",-0.65
"AAA","A-Level","90-100%","0-35",0,"Fail",5.70711026474888,5.01727983681492,"Medium","Other","N",-0.69
"BBB","Lower","30-40%","0-35",2,"Fail",6.58892647753352,4.79579054559674,"Medium","Other","N",0.27
"DDD","A-Level","30-40%","0-35",2,"Fail",7.08170858610557,4.11087386417331,"High","Wales","N",-1.43
"FFF","Lower","30-40%","0-35",0,"Pass",7.75790620835175,4.79579054559674,"High","North Region","N",0.63
"FFF","A-Level","80-90%","0-35",1,"Pass",8.03722003113301,4.11087386417331,"High","London Region","N",0.66
"EEE","A-Level","90-100%","0-35",0,"Fail",5.4510384535657,4.11087386417331,"Medium","Other","N",0.17
"DDD","A-Level","30-40%","0-35",0,NA,7.1770187659099,4.11087386417331,"High","South West Region","N",1.01
"FFF","A-Level","30-40%","0-35",1,NA,9.2975267336551,4.79579054559674,"High","North Western Region","N",0.97
"BBB","HE Qual","40-50%","0-35",0,"Fail",4.07753744390572,4.79579054559674,"Medium","London Region","N",-2
"BBB","A-Level","60-70%","0-35",0,"Pass",6.99576615630485,4.11087386417331,"High","South East Region","N",0.82
"FFF","A-Level","70-80%","0-35",1,"Pass",8.44805745258138,4.11087386417331,"High","South East Region","N",0.01
"BBB","HE Qual","80-90%","0-35",0,"Pass",5.52545293913178,4.11087386417331,"Medium","South Region","N",-0.54
"BBB","HE Qual","30-40%","0-35",0,"Pass",5.23110861685459,4.11087386417331,"Medium","Wales","N",0.04
"FFF","Lower","0-10%","0-35",0,"Fail",7.31721240835984,4.79579054559674,"High","North Western Region","N",-0.27
"FFF","A-Level","30-40%","0-35",0,"Fail",5.55682806169954,4.11087386417331,"Medium","London Region","N",-3.25
"CCC","A-Level","50-60%","0-35",0,"Fail",5.77765232322266,3.43398720448515,"Medium","Other","N",-0.65
"BBB","A-Level","0-10%","0-35",0,"Pass",5.02388052084628,4.11087386417331,"Medium","North Western Region","N",-0.57
"FFF","A-Level","30-40%","0-35",1,NA,8.45935219172639,4.11087386417331,"High","North Region","N",0.74
"FFF","A-Level","40-50%","0-35",0,NA,8.59526472683639,4.51085950651685,"High","South East Region","N",0.97
"DDD","A-Level","80-90%","0-35",0,"Fail",6.94312242281943,4.11087386417331,"High","North Region","N",-0.06
"FFF","A-Level","90-100%","0-35",0,"Pass",7.15617663748062,4.11087386417331,"High","Other","N",-0.19
"CCC","Lower","60-70%","0-35",0,NA,7.45529848568329,5.01727983681492,"High","South Region","N",1.256
"DDD","Lower","0-10%","0-35",0,"Fail",7.34729970074316,4.11087386417331,"High","London Region","N",-0.34
"BBB","A-Level","0-10%","0-35",1,"Pass",6.89467003943348,5.48479693349065,"High","North Western Region","N",0.37
"BBB","A-Level","20-30%","0-35",0,"Fail",2.70805020110221,4.11087386417331,"Low","Wales","N",-0.43
"DDD","A-Level","0-10%","0-35",1,"Pass",7.15305163493748,4.79579054559674,"High","West Midlands Region","Y",0.11
"GGG","A-Level","90-100%","0-35",0,"Pass",6.53958595561767,3.43398720448515,"Medium","South Region","N",0.39
"BBB","A-Level","80-90%","0-35",0,"Pass",6.29341927884648,4.79579054559674,"Medium","Wales","N",0.58
"DDD","A-Level","30-40%","0-35",0,"Pass",7.67461749736436,4.11087386417331,"High","Other","N",-0.04
"DDD","Lower","30-40%","0-35",1,"Pass",6.06378520868761,4.11087386417331,"Medium","North Region","N",-0.74
"BBB","A-Level","90-100%","0-35",0,"Pass",6.96696713861398,5.19849703126583,"High","South Region","N",0.64
"DDD","A-Level","30-40%","0-35",0,"Pass",6.29526600143965,4.11087386417331,"Medium","North Western Region","N",0.24
"BBB","A-Level","50-60%","0-35",1,"Pass",6.77308037565554,5.19849703126583,"Medium","South West Region","N",0.69
"CCC","Lower","30-40%","0-35",0,"Pass",8.28853445941392,5.35185813347607,"High","Other","N",0.6
"BBB","HE Qual","60-70%","0-35",0,"Pass",6.62804137617953,4.11087386417331,"Medium","Other","N",0.2
"BBB","Lower","50-60%","0-35",0,"Fail",6.68586094706836,4.11087386417331,"Medium","Yorkshire Region","N",-0.7
"DDD","A-Level","20-30%","0-35",1,"Pass",7.35883089834235,4.79579054559674,"High","Yorkshire Region","N",0.768
"BBB","A-Level","0-10%","0-35",1,"Fail",0,4.11087386417331,"Low","Wales","N",-3.25
"DDD","Lower","40-50%","0-35",2,"Fail",4.4188406077966,4.11087386417331,"Medium","South Region","N",0.59
"BBB","A-Level","50-60%","0-35",2,"Pass",6.41836493593621,4.79579054559674,"Medium","Wales","N",0.29
"FFF","Lower","90-100%","0-35",0,"Fail",6.10479323241498,4.51085950651685,"Medium","South Region","Y",-0.33
"EEE","A-Level","60-70%","0-35",0,NA,7.6586995582683,3.43398720448515,"High","Wales","N",0.67
"BBB","HE Qual","90-100%","0-35",1,"Pass",6.63200177739563,4.11087386417331,"Medium","South East Region","N",0.57
"BBB","A-Level","30-40%","0-35",0,"Pass",6.32435896238131,4.79579054559674,"Medium","West Midlands Region","N",0.83
"FFF","A-Level","30-40%","0-35",2,"Pass",9.96199228190869,4.79579054559674,"High","London Region","Y",0.34
"CCC","A-Level","30-40%","0-35",0,"Pass",8.43402895015547,4.11087386417331,"High","South West Region","N",0.55
"CCC","A-Level","0-10%","0-35",0,"Fail",1.94591014905531,4.11087386417331,"Low","West Midlands Region","N",-2.613
"BBB","A-Level","70-80%","0-35",0,"Pass",6.63068338564237,4.51085950651685,"Medium","Other","N",0.64
"FFF","Lower","40-50%","0-35",1,"Fail",6.29710931993394,4.79579054559674,"Medium","Wales","N",-0.19
"BBB","HE Qual","20-30%","0-35",1,"Pass",7.45876269238096,5.6021188208797,"High","London Region","N",0.15
"EEE","A-Level","60-70%","0-35",0,NA,7.50823877467866,3.71357206670431,"High","North Western Region","N",0.76
"CCC","A-Level","40-50%","0-35",0,"Fail",5.14166355650266,3.43398720448515,"Medium","Other","N",-0.22
"DDD","A-Level","60-70%","0-35",1,"Pass",7.02108396428914,4.11087386417331,"High","Other","N",-0.17
"FFF","A-Level","50-60%","0-35",1,"Pass",7.12528309151071,4.79579054559674,"High","Other","N",0.37
"BBB","Lower","0-10%","0-35",0,"Fail",4.36944785246702,4.79579054559674,"Medium","West Midlands Region","N",-3.25
"DDD","Lower","40-50%","0-35",1,"Fail",4.27666611901606,5.48479693349065,"Medium","Other","N",-0.61
"BBB","Lower","30-40%","0-35",0,"Pass",7.30720231476474,4.11087386417331,"High","Yorkshire Region","N",0.79
"FFF","Lower","30-40%","0-35",0,"Fail",5.89440283426485,4.11087386417331,"Medium","Other","N",-3.25
"EEE","A-Level","80-90%","0-35",0,NA,8.97043207432924,4.51085950651685,"High","London Region","N",0.76
"BBB","A-Level","70-80%","0-35",2,"Fail",6.56667242980324,4.11087386417331,"Medium","South West Region","Y",-0.23
"BBB","Lower","0-10%","0-35",0,"Fail",3.78418963391826,5.27811465923052,"Medium","Wales","N",-0.12
"DDD","A-Level","60-70%","0-35",1,"Pass",8.33758794211651,4.87519732320115,"High","South West Region","N",0.7665
"FFF","A-Level","60-70%","0-35",0,"Pass",8.40245551394581,4.51085950651685,"High","Yorkshire Region","N",0.57
"DDD","A-Level","0-10%","0-35",1,"Pass",6.52649485957079,4.11087386417331,"Medium","Yorkshire Region","N",-0.83
"DDD","None","30-40%","0-35",0,"Pass",6.47697236288968,5.01727983681492,"Medium","North Region","N",0.8975
"BBB","Lower","0-10%","0-35",1,"Fail",3.40119738166216,4.79579054559674,"Low","Wales","N",-3.25
"FFF","A-Level","30-40%","0-35",1,"Fail",6.21060007702465,5.19849703126583,"Medium","North Region","N",-0.14
"CCC","A-Level","30-40%","0-35",0,"Pass",6.74523634948436,3.43398720448515,"Medium","North Western Region","N",-0.43
"EEE","HE Qual","70-80%","0-35",0,"Fail",6.39526159811545,4.11087386417331,"Medium","Other","N",0.53
"FFF","HE Qual","50-60%","0-35",0,"Pass",7.76302130901852,4.11087386417331,"High","South East Region","N",-0.4305
"FFF","A-Level","0-10%","0-35",0,"Pass",8.40514368760761,4.33073334028633,"High","Other","N",0.81
"DDD","A-Level","20-30%","0-35",0,NA,6.64768837356333,4.45434729625351,"Medium","Other","Y",0.714
"EEE","Lower","20-30%","0-35",0,"Fail",4.84418708645859,4.11087386417331,"Medium","West Midlands Region","N",-3.25
"BBB","A-Level","0-10%","0-35",0,"Pass",6.98471632011827,4.11087386417331,"High","Other","N",0.56
"FFF","Lower","30-40%","0-35",1,"Fail",5.18178355029209,4.11087386417331,"Medium","Other","N",-3.25
"DDD","A-Level","70-80%","0-35",0,"Pass",7.93200315236138,4.39444915467244,"High","South Region","N",0.84
"CCC","A-Level","90-100%","0-35",0,"Pass",7.03966034986208,4.11087386417331,"High","Other","N",0.65
"BBB","A-Level","30-40%","0-35",0,"Pass",7.45182223652793,4.11087386417331,"High","London Region","N",-0.53
"BBB","Lower","60-70%","0-35",0,"Pass",5.87211778947542,4.11087386417331,"Medium","West Midlands Region","N",0.36
"BBB","Lower","40-50%","0-35",0,"Pass",7.12286665859908,4.11087386417331,"High","Other","N",0.67
"FFF","Lower","60-70%","0-35",0,"Pass",7.5999019592085,4.79579054559674,"High","South Region","N",-0.16
"DDD","A-Level","80-90%","0-35",0,"Pass",6.08449941307517,4.51085950651685,"Medium","Other","Y",-1.056
"BBB","Lower","30-40%","0-35",1,"Pass",6.51619307604296,4.11087386417331,"Medium","Yorkshire Region","N",0.11
"CCC","HE Qual","0-10%","0-35",0,"Fail",6.2709884318583,3.43398720448515,"Medium","Other","N",0.747999999999999
"FFF","A-Level","20-30%","0-35",2,"Fail",6.98471632011827,4.11087386417331,"High","Wales","Y",-0.08
"BBB","Lower","50-60%","0-35",0,NA,6.42971947803914,4.11087386417331,"Medium","Yorkshire Region","N",0.75
"DDD","HE Qual","30-40%","0-35",0,"Fail",6.71295620067707,4.11087386417331,"Medium","South East Region","N",0.12
"EEE","A-Level","30-40%","0-35",0,"Fail",6.25766758788264,4.11087386417331,"Medium","South West Region","Y",0.000999999999999973
"FFF","A-Level","20-30%","0-35",0,"Fail",8.69951474821019,5.19849703126583,"High","West Midlands Region","N",-0.3
"FFF","HE Qual","40-50%","0-35",0,"Pass",7.89020821310996,4.79579054559674,"High","South East Region","N",0.46
"FFF","A-Level","0-10%","0-35",0,NA,7.77148876011762,4.11087386417331,"High","North Western Region","N",1.01
"BBB","Lower","50-60%","0-35",0,"Pass",6.49375383985169,4.11087386417331,"Medium","Wales","N",0.39
"FFF","A-Level","30-40%","0-35",3,"Fail",6.78219205600679,4.11087386417331,"Medium","North Region","N",-0.29
"DDD","Lower","30-40%","0-35",1,"Fail",7.38336814699238,4.11087386417331,"High","Other","N",-0.12
"BBB","A-Level","20-30%","0-35",0,"Pass",5.74620319054015,4.11087386417331,"Medium","Wales","N",0.36
"DDD","A-Level","20-30%","0-35",0,"Pass",7.4312996751559,4.11087386417331,"High","South West Region","N",0.768
"FFF",NA,"90-100%","0-35",0,"Pass",8.40559101483493,4.79579054559674,"High","South Region","N",0.3375
"DDD","Lower","20-30%","0-35",0,"Fail",3.8286413964891,4.11087386417331,"Medium","North Western Region","N",-3.25
"BBB","Lower","0-10%","0-35",1,"Fail",5.47227067367148,4.11087386417331,"Medium","West Midlands Region","N",-0.31
"GGG","Lower","30-40%","0-35",0,NA,6.05678401322862,3.43398720448515,"Medium","South East Region","Y",0.66
"BBB","A-Level","50-60%","0-35",0,"Pass",6.80239476332431,4.11087386417331,"Medium","Other","N",0.32
"FFF","Lower","30-40%","0-35",0,"Fail",5.50533153593236,4.51085950651685,"Medium","Wales","N",0.71
"BBB","Lower","0-10%","0-35",3,"Fail",1.79175946922805,4.11087386417331,"Low","West Midlands Region","N",-0.02
"AAA","A-Level","60-70%","0-35",0,"Pass",6.41999492814714,4.11087386417331,"Medium","South East Region","N",0.12
"FFF","A-Level","20-30%","0-35",0,"Pass",8.02191277898571,4.79579054559674,"High","London Region","N",0.15
"DDD","A-Level","50-60%","0-35",0,"Fail",6.70686233660275,4.79579054559674,"Medium","Other","N",-0.21
"DDD","A-Level","50-60%","0-35",0,NA,7.92117272158701,4.51085950651685,"High","South West Region","Y",0.85
"FFF","A-Level","70-80%","0-35",1,"Pass",8.46083445774685,4.11087386417331,"High","Other","N",-0.05
"GGG","Lower","30-40%","0-35",0,NA,6.9037472575846,3.43398720448515,"High","North Western Region","N",0.44
"BBB","A-Level","70-80%","0-35",0,NA,6.44888939414686,4.79579054559674,"Medium","South East Region","N",0.91
"DDD","A-Level","90-100%","0-35",0,"Fail",7.05789793741186,4.51085950651685,"High","Other","N",-0.61
"BBB","A-Level","30-40%","0-35",0,NA,6.84587987526405,4.11087386417331,"High","Other","N",1.01
"DDD","A-Level","60-70%","0-35",0,"Pass",7.23056315340929,4.51085950651685,"High","Other","N",0.7665
"BBB","A-Level","70-80%","0-35",0,"Pass",6.82979373751242,4.79579054559674,"Medium","West Midlands Region","N",0.42
"FFF","Lower","20-30%","0-35",2,"Fail",6.89770494312864,4.51085950651685,"High","Other","N",0.13
"FFF","A-Level","40-50%","0-35",3,"Pass",7.92226105835325,4.11087386417331,"High","Other","N",-0.18
"DDD","Lower","70-80%","0-35",0,"Pass",8.27461194620955,4.11087386417331,"High","Wales","N",-0.876
"BBB","Lower","30-40%","0-35",2,"Pass",6.0591231955818,4.79579054559674,"Medium","Wales","N",0.44
